Type,adjusted_time_hours,Price
ask,367.0,275.73602630342884
ask,368.0,265.0256906077348
ask,369.0,266.54984817813767
ask,370.0,264.97251979506285
ask,371.0,260.59882903981264
ask,372.0,259.13894639981595
ask,373.0,256.78878458498025
ask,374.0,251.23050326546291
ask,375.0,244.47759070429214
ask,376.0,242.6049766718507
ask,377.0,240.53467336683417
ask,378.0,240.55184804928132
ask,379.0,236.24612773180564
ask,380.0,229.52774049217
ask,381.0,216.09331259720062
ask,382.0,214.88605512134924
ask,383.0,215.93972286374134
ask,384.0,212.759662372279
ask,385.0,210.21553127179726
ask,386.0,210.25393258426968
ask,387.0,211.38817005545286
ask,388.0,210.3536010769576
ask,389.0,211.38391640163562
ask,390.0,212.58647140864713
ask,391.0,211.29438717067583
ask,392.0,211.22344665885112
ask,393.0,210.1888729703916
ask,394.0,212.2565507384469
ask,395.0,211.36188436830835
ask,396.0,208.84995586937333
ask,397.0,208.47301748163162
ask,398.0,210.59739633558343
ask,399.0,209.80014605647517
ask,400.0,210.17088122605364
ask,401.0,213.17823923858967
ask,402.0,216.92162162162163
ask,403.0,217.56908881199539
ask,404.0,220.68889343424013
ask,405.0,228.58048887910152
ask,406.0,225.19019518837948
ask,407.0,232.00450045004501
ask,408.0,231.85620107128142
ask,409.0,227.10391534391533
ask,410.0,229.9158620689655
ask,411.0,229.95323444581788
ask,412.0,228.02773722627737
ask,413.0,232.3304603741854
ask,414.0,226.81288488867835
ask,415.0,224.28002005515168
ask,416.0,222.6371020856202
ask,417.0,228.28866681807858
ask,418.0,221.97540353574175
ask,419.0,224.6065052580093
ask,420.0,220.16199158485273
ask,421.0,212.89036962534573
ask,422.0,212.6174198080075
ask,423.0,208.60710808179164
ask,424.0,197.8621373667245
ask,425.0,195.67346481398476
ask,426.0,193.08446195518346
ask,427.0,192.74646253769427
ask,428.0,196.17263693089902
ask,429.0,197.99837247151825
ask,430.0,196.88630609896433
ask,431.0,195.22393730705295
ask,432.0,194.9342956694873
ask,433.0,198.36170212765958
ask,434.0,199.87432337020476
ask,435.0,196.77459333849728
ask,436.0,198.59418862349176
ask,437.0,196.05295007564297
ask,438.0,195.53558476881233
ask,439.0,195.81606406212086
ask,440.0,191.95220966084275
ask,441.0,194.25024557956777
ask,442.0,193.38341968911917
ask,443.0,194.62359906957073
ask,444.0,196.40502131691142
ask,445.0,199.84988913525498
ask,446.0,202.8546287367406
ask,447.0,210.32193158953723
ask,448.0,209.63038079470198
ask,449.0,213.6791350087668
ask,450.0,215.73136246786632
ask,451.0,217.0502112851106
ask,452.0,214.71435069365475
ask,453.0,210.709375
ask,454.0,212.36577260859247
ask,455.0,214.67107195301028
ask,456.0,213.98818025116967
ask,457.0,211.35771276595744
ask,458.0,208.0574523192842
ask,459.0,204.0217339383807
ask,460.0,200.0687243790692
ask,461.0,195.04707631318138
ask,462.0,191.42171344165436
ask,463.0,187.52179327521793
ask,464.0,182.74537148352968
ask,465.0,181.69375736160188
ask,466.0,182.30464480874318
ask,467.0,182.15690235690235
ask,468.0,177.9118106139438
ask,469.0,177.262189292543
ask,470.0,179.83603476626732
ask,471.0,176.9260375608625
ask,472.0,178.3997668997669
ask,473.0,172.26298394711992
ask,474.0,170.2057532910775
ask,475.0,169.9070796460177
ask,476.0,166.63126491646779
ask,477.0,168.7998496993988
ask,478.0,169.41761579347002
ask,479.0,171.6192818494835
ask,480.0,168.92916766038636
ask,481.0,167.49307913293288
ask,482.0,169.59919507575756
ask,483.0,167.48192771084337
ask,484.0,168.69249049429658
ask,485.0,166.81051401869158
ask,486.0,164.9961786481968
ask,487.0,163.22224874671758
ask,488.0,160.51046025104603
ask,489.0,155.42126623376623
ask,490.0,154.94990079365078
