Type,adjusted_time_minutes,ASK Price Predicted
ask,9932,96.7089
ask,9933,96.90917
ask,9934,96.41047
ask,9935,96.74256
ask,9936,96.31712
ask,9937,96.028244
ask,9938,95.77513
ask,9939,96.306175
ask,9940,96.641495
ask,9941,96.85834
ask,9942,96.373505
ask,9943,96.10578
ask,9944,96.543976
ask,9945,96.17059
ask,9946,95.84259
ask,9947,95.71045
ask,9948,95.61562
ask,9949,95.86362
ask,9950,96.3431
ask,9951,96.657585
ask,9952,96.87519
ask,9953,96.712616
ask,9954,96.94159
ask,9955,96.77195
ask,9956,96.33593
ask,9957,96.051895
ask,9958,95.85802
ask,9959,96.03721
ask,9960,95.82183
ask,9961,95.99875
ask,9962,95.63739
ask,9963,95.559975
ask,9964,95.51054
ask,9965,96.113686
ask,9966,95.86114
ask,9967,95.654236
ask,9968,95.90003
ask,9969,96.37934
ask,9970,96.36482
ask,9971,96.68634
ask,9972,96.26655
ask,9973,95.836586
ask,9974,95.61778
ask,9975,95.56007
ask,9976,96.14928
ask,9977,95.88307
ask,9978,95.713066
ask,9979,95.62811
ask,9980,95.44036
ask,9981,96.07101
ask,9982,95.835144
ask,9983,96.00239
ask,9984,96.448395
ask,9985,96.41759
ask,9986,96.08216
ask,9987,96.5178
ask,9988,96.67094
ask,9989,96.19941
ask,9990,96.59472
ask,9991,96.85483
ask,9992,96.693825
ask,9993,96.92002
ask,9994,97.07501
ask,9995,96.53113
ask,9996,96.82529
ask,9997,96.37224
ask,9998,96.064896
ask,9999,95.8635
ask,10000,95.7198
ask,10001,95.55608
ask,10002,96.1444
ask,10003,96.52551
ask,10004,96.45502
ask,10005,96.10721
ask,10006,96.537506
ask,10007,96.492325
ask,10008,96.77748
ask,10009,96.326904
ask,10010,96.35776
ask,10011,96.05916
ask,10012,95.88438
ask,10013,96.37767
ask,10014,96.691315
ask,10015,96.25191
ask,10016,96.62453
ask,10017,96.232216
ask,10018,96.29033
ask,10019,96.65264
ask,10020,96.237625
